participant_id,reading_time,correct,characters,segment_category,sentence_number,sentence_type,music_condition,Gold_MSI_index
9807,0.9729524999856949,1,6,non_critical,45,expected_syntactic,out_of_key,66
9807,1.3532047998160124,1,16,non_critical,45,expected_syntactic,out_of_key,66
9807,1.0794651000760496,1,13,non_critical,45,expected_syntactic,out_of_key,66
9807,1.2948904000222683,1,15,non_critical,45,expected_syntactic,out_of_key,66
9807,1.2335822000168264,1,12,non_critical,45,expected_syntactic,out_of_key,66
9807,1.234798800200224,1,22,pre_critical,45,expected_syntactic,out_of_key,66
9807,1.18046690011397,1,5,critical,45,expected_syntactic,out_of_key,66
9807,1.1126975000370294,1,9,post_critical,45,expected_syntactic,out_of_key,66
9807,1.1113993001636118,1,13,non_critical,45,expected_syntactic,out_of_key,66
9807,1.4259224000852555,1,13,non_critical,45,expected_syntactic,out_of_key,66
9807,0.8112716998439282,0,4,non_critical,33,unexpected_semantic,out_of_key,66
9807,0.8828982999548316,0,13,non_critical,33,unexpected_semantic,out_of_key,66
9807,1.3143664000090212,0,9,non_critical,33,unexpected_semantic,out_of_key,66
9807,1.7584839998744428,0,10,non_critical,33,unexpected_semantic,out_of_key,66
9807,1.1813102001324296,0,12,non_critical,33,unexpected_semantic,out_of_key,66
9807,1.2530797000508755,0,8,pre_critical,33,unexpected_semantic,out_of_key,66
9807,0.9343670001253486,0,5,critical,33,unexpected_semantic,out_of_key,66
9807,1.990759399952367,0,10,post_critical,33,unexpected_semantic,out_of_key,66
9807,1.4981259999331087,0,6,non_critical,33,unexpected_semantic,out_of_key,66
9807,1.049758399836719,0,9,non_critical,33,unexpected_semantic,out_of_key,66
9807,1.0730830999091268,1,4,non_critical,34,unexpected_semantic,out_of_key,66
9807,1.5317534999921918,1,16,non_critical,34,unexpected_semantic,out_of_key,66
9807,1.0862677998375148,1,8,non_critical,34,unexpected_semantic,out_of_key,66
9807,1.5273235000204295,1,10,non_critical,34,unexpected_semantic,out_of_key,66
9807,1.4754203001502901,1,7,non_critical,34,unexpected_semantic,out_of_key,66
9807,1.0467602000571787,1,8,pre_critical,34,unexpected_semantic,out_of_key,66
9807,1.7325329000595957,1,8,critical,34,unexpected_semantic,out_of_key,66
9807,1.0731554999947548,1,9,post_critical,34,unexpected_semantic,out_of_key,66
9807,0.87082409998402,1,5,non_critical,34,unexpected_semantic,out_of_key,66
9807,2.010428600013256,1,15,non_critical,34,unexpected_semantic,out_of_key,66
9807,1.1422385999467224,1,3,non_critical,22,filler,in_key,66
9807,1.226756000192836,1,15,non_critical,22,filler,in_key,66
9807,1.467776000034064,1,10,non_critical,22,filler,in_key,66
9807,2.661410100059584,1,7,non_critical,22,filler,in_key,66
9807,1.104835200123489,1,19,non_critical,22,filler,in_key,66
