participant_id,reading_time,correct,characters,segment_category,sentence_number,sentence_type,music_condition,Gold_MSI_index
48054,0.9007861998397857,1,3,non_critical,8,filler,in_key,94
48054,0.5070241000503302,1,14,non_critical,8,filler,in_key,94
48054,0.5242164998780936,1,11,non_critical,8,filler,in_key,94
48054,0.45038209995254874,1,13,non_critical,8,filler,in_key,94
48054,0.45901960018090904,1,10,non_critical,8,filler,in_key,94
48054,0.5322847999632359,1,7,non_critical,8,filler,in_key,94
48054,0.7625756000634283,0,4,non_critical,36,unexpected_semantic,out_of_key,94
48054,0.6309523000381887,0,8,non_critical,36,unexpected_semantic,out_of_key,94
48054,0.87214559991844,0,9,non_critical,36,unexpected_semantic,out_of_key,94
48054,0.8337593001779169,0,11,non_critical,36,unexpected_semantic,out_of_key,94
48054,1.4845753000117838,0,12,non_critical,36,unexpected_semantic,out_of_key,94
48054,0.6420514998026192,0,4,non_critical,36,unexpected_semantic,out_of_key,94
48054,0.6076309999916703,0,10,pre_critical,36,unexpected_semantic,out_of_key,94
48054,0.8949661001097411,0,12,critical,36,unexpected_semantic,out_of_key,94
48054,1.1496964998077601,0,6,post_critical,36,unexpected_semantic,out_of_key,94
48054,1.1722713001072407,0,9,non_critical,36,unexpected_semantic,out_of_key,94
48054,0.5475085000507534,1,6,non_critical,21,filler,in_key,94
48054,2.2298701000399888,1,25,non_critical,21,filler,in_key,94
48054,0.553465100005269,1,7,non_critical,21,filler,in_key,94
48054,0.48295379988849163,1,12,non_critical,21,filler,in_key,94
48054,0.6017565000802279,1,12,non_critical,21,filler,in_key,94
48054,0.4927676999941468,1,6,non_critical,21,filler,in_key,94
48054,0.5053828000091016,1,13,non_critical,21,filler,in_key,94
48054,0.609918899834156,1,12,non_critical,21,filler,in_key,94
48054,0.5799571999814361,1,4,non_critical,33,unexpected_semantic,in_key,94
48054,0.5278072999790311,1,13,non_critical,33,unexpected_semantic,in_key,94
48054,0.7338624000549316,1,9,non_critical,33,unexpected_semantic,in_key,94
48054,0.8140467000193894,1,10,non_critical,33,unexpected_semantic,in_key,94
48054,0.5258607000578195,1,12,non_critical,33,unexpected_semantic,in_key,94
48054,0.5480776999611408,1,8,pre_critical,33,unexpected_semantic,in_key,94
48054,0.5727195001672953,1,5,critical,33,unexpected_semantic,in_key,94
48054,0.8008904000744224,1,10,post_critical,33,unexpected_semantic,in_key,94
48054,0.6386901999358088,1,6,non_critical,33,unexpected_semantic,in_key,94
48054,0.8478808999061584,1,9,non_critical,33,unexpected_semantic,in_key,94
48054,0.5354440999217331,1,9,non_critical,37,expected_syntactic,in_key,94
48054,0.44706649985164404,1,10,non_critical,37,expected_syntactic,in_key,94
48054,0.7732015999499708,1,15,non_critical,37,expected_syntactic,in_key,94
48054,1.1794728999957442,1,17,non_critical,37,expected_syntactic,in_key,94
48054,0.6614299998618662,1,12,pre_critical,37,expected_syntactic,in_key,94
48054,0.5201175999827683,1,7,critical,37,expected_syntactic,in_key,94
48054,0.48109509982168674,1,9,post_critical,37,expected_syntactic,in_key,94
48054,0.4578958998899907,1,7,non_critical,37,expected_syntactic,in_key,94
48054,0.9673729999922216,1,13,non_critical,37,expected_syntactic,in_key,94
48054,1.7481345999985933,1,8,non_critical,10,filler_out_of_key,out_of_key,94
48054,0.4540212999563664,1,5,non_critical,10,filler_out_of_key,out_of_key,94
48054,0.5916138000320643,1,12,pre_critical,10,filler_out_of_key,out_of_key,94
48054,0.4617926999926567,1,8,critical,10,filler_out_of_key,out_of_key,94
48054,0.6222010001074523,1,21,post_critical,10,filler_out_of_key,out_of_key,94
48054,0.6826172999572009,1,17,non_critical,10,filler_out_of_key,out_of_key,94
48054,0.5529191999230534,1,13,non_critical,3,filler_out_of_key,out_of_key,94
48054,0.5006293999031186,1,9,pre_critical,3,filler_out_of_key,out_of_key,94
48054,0.4482122000772506,1,6,critical,3,filler_out_of_key,out_of_key,94
48054,0.8460860999766737,1,16,post_critical,3,filler_out_of_key,out_of_key,94
48054,0.6964308000169694,1,6,non_critical,3,filler_out_of_key,out_of_key,94
48054,0.6008039000444114,1,4,non_critical,28,expected_semantic,in_key,94
48054,0.46652849996462464,1,9,non_critical,28,expected_semantic,in_key,94
48054,0.4971687998622656,1,13,non_critical,28,expected_semantic,in_key,94
48054,0.9010398001410067,1,14,non_critical,28,expected_semantic,in_key,94
48054,0.8196475000586361,1,14,pre_critical,28,expected_semantic,in_key,94
48054,0.6411480999086052,1,7,critical,28,expected_semantic,in_key,94
48054,0.47645930014550686,1,5,post_critical,28,expected_semantic,in_key,94
48054,0.9415415998082608,1,13,non_critical,28,expected_semantic,in_key,94
48054,0.8797116000205278,1,9,non_critical,28,expected_semantic,in_key,94
48054,0.6297516999766231,1,7,non_critical,48,unexpected_syntactic,out_of_key,94
48054,0.5038942999672145,1,14,non_critical,48,unexpected_syntactic,out_of_key,94
48054,0.4503147001378238,1,15,non_critical,48,unexpected_syntactic,out_of_key,94
48054,0.7922969998326153,1,19,non_critical,48,unexpected_syntactic,out_of_key,94
48054,0.655884200008586,1,10,non_critical,48,unexpected_syntactic,out_of_key,94
48054,0.8333599001634866,1,14,non_critical,48,unexpected_syntactic,out_of_key,94
48054,2.0647709001787007,1,26,pre_critical,48,unexpected_syntactic,out_of_key,94
48054,0.6197944998275489,1,5,critical,48,unexpected_syntactic,out_of_key,94
48054,0.8321445998735726,1,13,post_critical,48,unexpected_syntactic,out_of_key,94
