participant_id,reading_time,correct,characters,segment_category,sentence_number,sentence_type,music_condition,Gold_MSI_index
10330,0.8281787000596523,1,7,non_critical,43,unexpected_syntactic,out_of_key,43
10330,1.1638064999133348,1,14,non_critical,43,unexpected_syntactic,out_of_key,43
10330,1.8606189000420272,1,13,non_critical,43,unexpected_syntactic,out_of_key,43
10330,0.5840296000242233,1,8,non_critical,43,unexpected_syntactic,out_of_key,43
10330,1.0103329999838024,1,14,pre_critical,43,unexpected_syntactic,out_of_key,43
10330,0.7468373000156134,1,5,critical,43,unexpected_syntactic,out_of_key,43
10330,0.9692721001338214,1,13,post_critical,43,unexpected_syntactic,out_of_key,43
10330,0.5316553001757711,1,4,non_critical,43,unexpected_syntactic,out_of_key,43
10330,2.3999160998500884,1,8,non_critical,43,unexpected_syntactic,out_of_key,43
10330,1.3936476001981646,1,16,non_critical,43,unexpected_syntactic,out_of_key,43
10330,1.0597663999069482,1,11,non_critical,43,unexpected_syntactic,out_of_key,43
10330,1.736409300006926,1,6,non_critical,7,filler,in_key,43
10330,1.9494801999535412,1,11,non_critical,7,filler,in_key,43
10330,0.7061364999972284,1,9,non_critical,7,filler,in_key,43
10330,4.19005209999159,1,17,non_critical,7,filler,in_key,43
10330,0.6767623999621719,1,14,non_critical,7,filler,in_key,43
10330,1.607502399943769,1,9,non_critical,7,filler,in_key,43
10330,0.6091755998786539,0,4,non_critical,36,unexpected_semantic,out_of_key,43
10330,0.791414299979806,0,8,non_critical,36,unexpected_semantic,out_of_key,43
10330,1.2088897000066936,0,9,non_critical,36,unexpected_semantic,out_of_key,43
10330,0.5268208000343293,0,11,non_critical,36,unexpected_semantic,out_of_key,43
10330,0.8155514001846313,0,12,non_critical,36,unexpected_semantic,out_of_key,43
10330,0.5495736000593752,0,4,non_critical,36,unexpected_semantic,out_of_key,43
10330,0.589583600172773,0,10,pre_critical,36,unexpected_semantic,out_of_key,43
10330,0.6756806999910623,0,12,critical,36,unexpected_semantic,out_of_key,43
10330,1.0364563001785427,0,6,post_critical,36,unexpected_semantic,out_of_key,43
10330,1.5537181000690907,0,9,non_critical,36,unexpected_semantic,out_of_key,43
10330,1.2168175999540836,1,4,non_critical,31,unexpected_semantic,out_of_key,43
10330,1.704116600099951,1,9,non_critical,31,unexpected_semantic,out_of_key,43
10330,0.7771534000057727,1,9,non_critical,31,unexpected_semantic,out_of_key,43
10330,1.4407141001429409,1,10,non_critical,31,unexpected_semantic,out_of_key,43
10330,0.8325628000311553,1,13,pre_critical,31,unexpected_semantic,out_of_key,43
10330,1.2315139998681843,1,14,critical,31,unexpected_semantic,out_of_key,43
10330,1.0609279999043792,1,6,post_critical,31,unexpected_semantic,out_of_key,43
10330,0.5658727001864463,1,5,non_critical,31,unexpected_semantic,out_of_key,43
10330,0.635972699848935,1,7,non_critical,31,unexpected_semantic,out_of_key,43
10330,0.8436123998835683,1,8,non_critical,31,unexpected_semantic,out_of_key,43
10330,1.078846899792552,1,6,non_critical,31,unexpected_semantic,out_of_key,43
10330,2.536868199938908,1,11,non_critical,44,unexpected_syntactic,out_of_key,43
10330,0.5147084000054747,1,13,non_critical,44,unexpected_syntactic,out_of_key,43
10330,0.8053665000479668,1,16,non_critical,44,unexpected_syntactic,out_of_key,43
10330,0.9271748999599367,1,18,non_critical,44,unexpected_syntactic,out_of_key,43
10330,0.6939920999575406,1,9,non_critical,44,unexpected_syntactic,out_of_key,43
10330,0.5088133998215199,1,11,pre_critical,44,unexpected_syntactic,out_of_key,43
10330,0.4119401001371443,1,5,critical,44,unexpected_syntactic,out_of_key,43
10330,1.6302370000630617,1,18,post_critical,44,unexpected_syntactic,out_of_key,43
10330,1.944541099946946,1,13,non_critical,44,unexpected_syntactic,out_of_key,43
10330,0.6048429999500513,1,8,non_critical,10,filler_out_of_key,out_of_key,43
10330,0.39671899983659387,1,5,non_critical,10,filler_out_of_key,out_of_key,43
10330,0.5704334999900311,1,12,pre_critical,10,filler_out_of_key,out_of_key,43
10330,0.5963113000616431,1,8,critical,10,filler_out_of_key,out_of_key,43
10330,0.734298599883914,1,21,post_critical,10,filler_out_of_key,out_of_key,43
10330,0.5688666999340057,1,17,non_critical,10,filler_out_of_key,out_of_key,43
10330,0.5770572999026626,1,4,non_critical,27,expected_semantic,in_key,43
10330,0.577358900103718,1,9,non_critical,27,expected_semantic,in_key,43
10330,1.295783600071445,1,10,non_critical,27,expected_semantic,in_key,43
10330,0.786288799950853,1,16,non_critical,27,expected_semantic,in_key,43
10330,1.1618015000130981,1,17,pre_critical,27,expected_semantic,in_key,43
10330,1.290519499918446,1,18,critical,27,expected_semantic,in_key,43
10330,0.6975475000217557,1,4,post_critical,27,expected_semantic,in_key,43
10330,0.49645600002259016,1,5,non_critical,27,expected_semantic,in_key,43
10330,0.3750707001890987,1,7,non_critical,27,expected_semantic,in_key,43
10330,0.6311627000104636,1,14,non_critical,46,unexpected_syntactic,in_key,43
10330,1.514808800071478,1,15,non_critical,46,unexpected_syntactic,in_key,43
10330,0.4837909999769181,1,10,non_critical,46,unexpected_syntactic,in_key,43
10330,1.4827171999495476,1,16,non_critical,46,unexpected_syntactic,in_key,43
10330,1.6574750000145286,1,10,non_critical,46,unexpected_syntactic,in_key,43
10330,0.4947294001467526,1,11,pre_critical,46,unexpected_syntactic,in_key,43
10330,0.42842000001110137,1,7,critical,46,unexpected_syntactic,in_key,43
10330,0.44269889988936484,1,5,post_critical,46,unexpected_syntactic,in_key,43
10330,0.5629211999475956,1,10,non_critical,46,unexpected_syntactic,in_key,43
10330,0.63866710010916,1,16,non_critical,46,unexpected_syntactic,in_key,43
10330,0.6587140997871757,1,7,non_critical,23,filler_out_of_key,out_of_key,43
10330,0.7215873999521136,1,20,non_critical,23,filler_out_of_key,out_of_key,43
10330,0.7184486000332981,1,15,non_critical,23,filler_out_of_key,out_of_key,43
10330,0.6660826997831464,1,15,non_critical,23,filler_out_of_key,out_of_key,43
10330,0.48221859987825155,1,5,pre_critical,23,filler_out_of_key,out_of_key,43
10330,0.5967910001054406,1,8,critical,23,filler_out_of_key,out_of_key,43
