participant_id,reading_time,correct,characters,segment_category,sentence_number,sentence_type,music_condition,Gold_MSI_index
41583,1.1344891998451203,1,13,non_critical,3,filler_out_of_key,out_of_key,56
41583,0.9240870999637991,1,9,pre_critical,3,filler_out_of_key,out_of_key,56
41583,0.9811287999618798,1,6,critical,3,filler_out_of_key,out_of_key,56
41583,1.4688484000507742,1,16,post_critical,3,filler_out_of_key,out_of_key,56
41583,1.3583172999788076,1,6,non_critical,3,filler_out_of_key,out_of_key,56
41583,1.090907100122422,1,4,non_critical,33,expected_semantic,in_key,56
41583,1.0641822000034153,1,13,non_critical,33,expected_semantic,in_key,56
41583,1.3421960999257863,1,9,non_critical,33,expected_semantic,in_key,56
41583,1.471241399878636,1,18,non_critical,33,expected_semantic,in_key,56
41583,1.0100495999213308,1,12,non_critical,33,expected_semantic,in_key,56
41583,1.0289982999674976,1,8,pre_critical,33,expected_semantic,in_key,56
41583,1.1559699000790715,1,5,critical,33,expected_semantic,in_key,56
41583,1.0363311001565307,1,10,post_critical,33,expected_semantic,in_key,56
41583,0.7472671999130398,1,6,non_critical,33,expected_semantic,in_key,56
41583,0.8422393000219017,1,9,non_critical,33,expected_semantic,in_key,56
41583,1.5847650999203324,1,6,non_critical,41,expected_syntactic,in_key,56
41583,1.3851425999309868,1,12,non_critical,41,expected_syntactic,in_key,56
41583,1.2512356999795884,1,14,non_critical,41,expected_syntactic,in_key,56
41583,0.8798569000791758,1,14,non_critical,41,expected_syntactic,in_key,56
41583,1.41914979997091,1,15,pre_critical,41,expected_syntactic,in_key,56
41583,0.8038282999768853,1,5,critical,41,expected_syntactic,in_key,56
41583,0.7246187999844551,1,8,post_critical,41,expected_syntactic,in_key,56
41583,0.8352032999973744,1,11,non_critical,41,expected_syntactic,in_key,56
41583,0.9992165002040565,1,13,non_critical,41,expected_syntactic,in_key,56
41583,1.6884696998167783,1,12,non_critical,19,filler,in_key,56
41583,0.8432134999893606,1,5,non_critical,19,filler,in_key,56
41583,1.567634099861607,1,9,non_critical,19,filler,in_key,56
41583,0.6502421000041068,1,6,non_critical,19,filler,in_key,56
41583,0.933813099982217,1,10,non_critical,19,filler,in_key,56
41583,0.8087714000139385,1,5,non_critical,19,filler,in_key,56
41583,1.2322796999942511,1,17,non_critical,19,filler,in_key,56
41583,1.0809446999337524,1,6,non_critical,15,filler,in_key,56
41583,1.0981332999654114,1,10,non_critical,15,filler,in_key,56
41583,0.9192079999484122,1,12,non_critical,15,filler,in_key,56
41583,2.031337399967015,1,12,non_critical,15,filler,in_key,56
41583,0.9350972999818623,1,7,non_critical,15,filler,in_key,56
41583,0.9035153998993337,1,19,non_critical,15,filler,in_key,56
41583,0.8221025001257658,1,3,non_critical,8,filler,in_key,56
41583,0.8657690000254661,1,14,non_critical,8,filler,in_key,56
