participant_id,reading_time,correct,characters,segment_category,sentence_number,sentence_type,music_condition,music_experience
5671,0.7139880999457091,1,6,post_critical,18,filler,in_key,8
5671,0.39700330002233386,1,13,non_critical,18,filler,in_key,8
5671,0.41220249998150393,1,9,non_critical,18,filler,in_key,8
5671,0.41249239997705445,1,5,non_critical,18,filler,in_key,8
5671,0.5895850000088103,1,9,non_critical,18,filler,in_key,8
5671,0.6478949000011198,1,12,non_critical,18,filler,in_key,8
5671,1.026465000002645,1,16,non_critical,18,filler,in_key,8
5671,0.5724632000201382,1,11,post_critical,5,filler,in_key,8
5671,0.40335310000227764,1,5,non_critical,5,filler,in_key,8
5671,0.46165680000558496,1,11,non_critical,5,filler,in_key,8
5671,0.4621890000416897,1,7,non_critical,5,filler,in_key,8
5671,0.3889177000382915,1,10,non_critical,5,filler,in_key,8
5671,0.8322625999571756,1,9,non_critical,5,filler,in_key,8
5671,0.7258938000304624,1,14,non_critical,32,expected_semantic,in_key,8
5671,0.704348300001584,1,18,non_critical,32,expected_semantic,in_key,8
5671,0.5398744000121951,1,7,non_critical,32,expected_semantic,in_key,8
5671,0.5255359999719076,1,19,non_critical,32,expected_semantic,in_key,8
5671,3.478431899973657,1,7,non_critical,32,expected_semantic,in_key,8
5671,0.4412614000029862,1,9,pre_critical,32,expected_semantic,in_key,8
5671,0.4650244999793358,1,10,critical,32,expected_semantic,in_key,8
5671,0.8595411999849603,1,8,post_critical,32,expected_semantic,in_key,8
5671,0.818938700016588,1,10,non_critical,32,expected_semantic,in_key,8
5671,0.5346061000018381,1,17,post_critical,2,filler,in_key,8
5671,0.4792405999614857,1,22,non_critical,2,filler,in_key,8
5671,0.48659679997945204,1,8,non_critical,2,filler,in_key,8
5671,0.610395600029733,1,10,non_critical,2,filler,in_key,8
5671,1.576286900031846,1,22,non_critical,2,filler,in_key,8
5671,0.5225115999928676,1,3,post_critical,22,filler,in_key,8
5671,0.3825949999736622,1,15,non_critical,22,filler,in_key,8
5671,0.4771110999863595,1,10,non_critical,22,filler,in_key,8
5671,0.5188998999656178,1,7,non_critical,22,filler,in_key,8
5671,0.5900743000092916,1,19,non_critical,22,filler,in_key,8
5671,0.5719949000049382,1,14,non_critical,22,filler,in_key,8
5671,0.5356987999984995,1,7,non_critical,22,filler,in_key,8
5671,0.5159977999865077,1,15,non_critical,22,filler,in_key,8
5671,0.48360189999220893,1,3,post_critical,6,filler,in_key,8
5671,0.39284059999044985,1,12,non_critical,6,filler,in_key,8
5671,0.497387700015679,1,11,non_critical,6,filler,in_key,8
5671,0.6395960999652743,1,13,non_critical,6,filler,in_key,8
5671,0.42488700000103563,1,10,non_critical,6,filler,in_key,8
5671,0.3964661000063643,1,9,non_critical,6,filler,in_key,8
5671,0.4818558999686502,0,21,post_critical,9,filler,in_key,8
5671,0.6534298000042327,0,8,non_critical,9,filler,in_key,8
5671,0.47273280000081286,0,6,non_critical,9,filler,in_key,8
5671,0.7296491999877617,0,17,non_critical,9,filler,in_key,8
5671,0.5561896999715827,0,9,non_critical,9,filler,in_key,8
5671,0.6863486000220291,0,10,non_critical,9,filler,in_key,8
5671,1.0683059999719262,1,22,non_critical,20,filler_out_of_key,out_of_key,8
5671,0.6069923000177369,1,9,non_critical,20,filler_out_of_key,out_of_key,8
5671,0.600068099971395,1,17,pre_critical,20,filler_out_of_key,out_of_key,8
5671,0.41662680002627894,1,10,critical,20,filler_out_of_key,out_of_key,8
5671,0.49428629997419193,1,11,post_critical,20,filler_out_of_key,out_of_key,8
5671,0.9288834000471979,1,12,non_critical,20,filler_out_of_key,out_of_key,8
5671,0.9937954000197351,1,10,non_critical,20,filler_out_of_key,out_of_key,8
5671,0.4595153999980539,1,4,non_critical,29,unexpected_semantic,in_key,8
5671,0.4447445999830961,1,9,non_critical,29,unexpected_semantic,in_key,8
5671,0.5771634000120685,1,7,non_critical,29,unexpected_semantic,in_key,8
5671,0.6763522000401281,1,10,non_critical,29,unexpected_semantic,in_key,8
