participant_id,reading_time,correct,characters,segment_category,sentence_number,sentence_type,music_condition,Gold_MSI_index
58576,1.4403677000664175,1,12,non_critical,19,filler,in_key,64
58576,0.45476619992405176,1,5,non_critical,19,filler,in_key,64
58576,0.47466460010036826,1,9,non_critical,19,filler,in_key,64
58576,0.41137959994375706,1,6,non_critical,19,filler,in_key,64
58576,0.780874100048095,1,10,non_critical,19,filler,in_key,64
58576,0.5090887998230755,1,5,non_critical,19,filler,in_key,64
58576,0.5695054000243545,1,17,non_critical,19,filler,in_key,64
58576,0.47714339988306165,1,4,non_critical,25,expected_semantic,out_of_key,64
58576,0.3915129001252353,1,8,non_critical,25,expected_semantic,out_of_key,64
58576,0.39921880001202226,1,10,non_critical,25,expected_semantic,out_of_key,64
58576,0.5323870999272913,1,16,non_critical,25,expected_semantic,out_of_key,64
58576,0.46644969983026385,1,11,pre_critical,25,expected_semantic,out_of_key,64
58576,0.425471100024879,1,10,critical,25,expected_semantic,out_of_key,64
58576,0.4533337000757456,1,6,post_critical,25,expected_semantic,out_of_key,64
58576,0.5187560999765992,1,6,non_critical,25,expected_semantic,out_of_key,64
58576,0.5352298999205232,1,9,non_critical,25,expected_semantic,out_of_key,64
58576,0.36307249986566603,1,4,non_critical,34,unexpected_semantic,out_of_key,64
58576,0.447664599865675,1,16,non_critical,34,unexpected_semantic,out_of_key,64
58576,0.8172406000085175,1,8,non_critical,34,unexpected_semantic,out_of_key,64
58576,0.46853869990445673,1,10,non_critical,34,unexpected_semantic,out_of_key,64
58576,0.645039499970153,1,7,non_critical,34,unexpected_semantic,out_of_key,64
58576,0.5151919999625534,1,8,pre_critical,34,unexpected_semantic,out_of_key,64
58576,0.5094807001296431,1,8,critical,34,unexpected_semantic,out_of_key,64
58576,0.4672329998575151,1,9,post_critical,34,unexpected_semantic,out_of_key,64
58576,0.4447512000333518,1,5,non_critical,34,unexpected_semantic,out_of_key,64
58576,0.5702055001165718,1,15,non_critical,34,unexpected_semantic,out_of_key,64
58576,0.4480939998757094,1,17,non_critical,39,unexpected_syntactic,out_of_key,64
58576,0.5515081998892128,1,14,non_critical,39,unexpected_syntactic,out_of_key,64
58576,0.46382420021109283,1,21,non_critical,39,unexpected_syntactic,out_of_key,64
58576,0.5629410999827087,1,10,non_critical,39,unexpected_syntactic,out_of_key,64
58576,0.4302095000166446,1,11,pre_critical,39,unexpected_syntactic,out_of_key,64
58576,0.44266290008090436,1,7,critical,39,unexpected_syntactic,out_of_key,64
58576,0.7384926998056471,1,4,post_critical,39,unexpected_syntactic,out_of_key,64
58576,0.7683925998862833,1,16,non_critical,39,unexpected_syntactic,out_of_key,64
58576,0.8283157998230308,1,11,non_critical,39,unexpected_syntactic,out_of_key,64
58576,0.43525959993712604,1,13,non_critical,3,filler_out_of_key,out_of_key,64
58576,0.40453159995377064,1,9,pre_critical,3,filler_out_of_key,out_of_key,64
58576,0.4222177001647651,1,6,critical,3,filler_out_of_key,out_of_key,64
58576,0.4976641000248492,1,16,post_critical,3,filler_out_of_key,out_of_key,64
58576,0.7906056998763233,1,6,non_critical,3,filler_out_of_key,out_of_key,64
58576,0.5986737001221627,1,4,non_critical,33,unexpected_semantic,out_of_key,64
58576,0.5917372000403702,1,13,non_critical,33,unexpected_semantic,out_of_key,64
58576,0.49786389991641045,1,9,non_critical,33,unexpected_semantic,out_of_key,64
58576,0.4772432001773268,1,10,non_critical,33,unexpected_semantic,out_of_key,64
58576,0.7302441999781877,1,12,non_critical,33,unexpected_semantic,out_of_key,64
58576,0.6363892999943346,1,8,pre_critical,33,unexpected_semantic,out_of_key,64
58576,0.6317187000531703,1,5,critical,33,unexpected_semantic,out_of_key,64
58576,0.6350777000188828,1,10,post_critical,33,unexpected_semantic,out_of_key,64
58576,0.6602073998656124,1,6,non_critical,33,unexpected_semantic,out_of_key,64
58576,0.5517265999224037,1,9,non_critical,33,unexpected_semantic,out_of_key,64
58576,0.43723220005631447,1,4,non_critical,27,expected_semantic,in_key,64
58576,0.5284982998855412,1,9,non_critical,27,expected_semantic,in_key,64
58576,0.46602399996481836,1,10,non_critical,27,expected_semantic,in_key,64
58576,0.4252192999701947,1,16,non_critical,27,expected_semantic,in_key,64
58576,0.3868579000700265,1,17,pre_critical,27,expected_semantic,in_key,64
58576,0.433364599943161,1,18,critical,27,expected_semantic,in_key,64
58576,0.43890820001251996,1,4,post_critical,27,expected_semantic,in_key,64
58576,0.43704580003395677,1,5,non_critical,27,expected_semantic,in_key,64
58576,0.3633999000303447,1,7,non_critical,27,expected_semantic,in_key,64
58576,0.4495750998612493,1,7,non_critical,43,expected_syntactic,in_key,64
58576,0.40179939987137914,1,14,non_critical,43,expected_syntactic,in_key,64
58576,0.4035982000641525,1,13,non_critical,43,expected_syntactic,in_key,64
58576,0.43120440002530813,1,13,non_critical,43,expected_syntactic,in_key,64
58576,0.39237890020012856,1,14,pre_critical,43,expected_syntactic,in_key,64
58576,0.48229960002936423,1,5,critical,43,expected_syntactic,in_key,64
58576,0.4432831001468003,1,13,post_critical,43,expected_syntactic,in_key,64
58576,0.398490599822253,1,4,non_critical,43,expected_syntactic,in_key,64
58576,0.4026991000864655,1,8,non_critical,43,expected_syntactic,in_key,64
58576,0.5126326000317931,1,16,non_critical,43,expected_syntactic,in_key,64
58576,0.36614179983735085,1,11,non_critical,43,expected_syntactic,in_key,64
58576,0.40315319993533194,1,3,non_critical,22,filler,in_key,64
58576,0.6694852998480201,1,15,non_critical,22,filler,in_key,64
58576,0.4940472000744194,1,10,non_critical,22,filler,in_key,64
58576,0.5558305000886321,1,7,non_critical,22,filler,in_key,64
58576,0.44043580000288785,1,19,non_critical,22,filler,in_key,64
58576,0.5047288001514971,1,14,non_critical,22,filler,in_key,64
58576,0.43545920005999506,1,7,non_critical,22,filler,in_key,64
58576,0.44701549992896616,1,15,non_critical,22,filler,in_key,64
58576,0.41930910013616085,1,22,non_critical,20,filler_out_of_key,out_of_key,64
58576,0.45938619994558394,1,9,non_critical,20,filler_out_of_key,out_of_key,64
58576,0.40487100020982325,1,17,pre_critical,20,filler_out_of_key,out_of_key,64
58576,0.48775499989278615,1,10,critical,20,filler_out_of_key,out_of_key,64
