participant_id,reading_time,correct,characters,segment_category,sentence_number,sentence_type,music_condition,music_experience
9441,0.6780604999948991,0,4,non_critical,35,unexpected_semantic,in_key,0
9441,0.7636133000050904,0,9,non_critical,35,unexpected_semantic,in_key,0
9441,0.7240343000012217,0,9,non_critical,35,unexpected_semantic,in_key,0
9441,0.7100600999983726,0,6,non_critical,35,unexpected_semantic,in_key,0
9441,0.6831725000083679,0,11,non_critical,35,unexpected_semantic,in_key,0
9441,0.8217880000011064,0,13,pre_critical,35,unexpected_semantic,in_key,0
9441,0.7176767000055406,0,8,critical,35,unexpected_semantic,in_key,0
9441,0.6971982999966713,0,4,post_critical,35,unexpected_semantic,in_key,0
9441,0.7731720000010682,0,14,non_critical,35,unexpected_semantic,in_key,0
9441,0.8498018999962369,0,8,non_critical,35,unexpected_semantic,in_key,0
9441,0.8763576999917859,0,3,non_critical,35,unexpected_semantic,in_key,0
9441,0.783313799998723,1,4,non_critical,36,unexpected_semantic,in_key,0
9441,0.6096928999904776,1,8,non_critical,36,unexpected_semantic,in_key,0
9441,0.694302300005802,1,9,non_critical,36,unexpected_semantic,in_key,0
9441,0.7099438999866834,1,11,non_critical,36,unexpected_semantic,in_key,0
9441,0.7088162000000011,1,12,non_critical,36,unexpected_semantic,in_key,0
9441,0.6252091999922413,1,4,non_critical,36,unexpected_semantic,in_key,0
9441,0.6313132000068435,1,10,pre_critical,36,unexpected_semantic,in_key,0
9441,0.7876821000099881,1,12,critical,36,unexpected_semantic,in_key,0
9441,0.7165160000004107,1,6,post_critical,36,unexpected_semantic,in_key,0
9441,0.7284053000039421,1,9,non_critical,36,unexpected_semantic,in_key,0
9441,0.6304892000043765,1,6,post_critical,17,filler,in_key,0
9441,0.6960541000007652,1,9,non_critical,17,filler,in_key,0
9441,0.6130915000103414,1,8,non_critical,17,filler,in_key,0
9441,0.6810122000024421,1,11,non_critical,17,filler,in_key,0
9441,0.6494804999965709,1,9,non_critical,17,filler,in_key,0
9441,0.5689329000015277,1,8,non_critical,17,filler,in_key,0
9441,0.71802940001362,1,16,non_critical,17,filler,in_key,0
9441,0.6381878000102006,1,4,non_critical,30,expected_semantic,in_key,0
9441,0.7154815999965649,1,9,non_critical,30,expected_semantic,in_key,0
9441,0.7842306999955326,1,9,non_critical,30,expected_semantic,in_key,0
9441,1.2042499000090174,1,16,non_critical,30,expected_semantic,in_key,0
9441,0.9088248000043677,1,17,pre_critical,30,expected_semantic,in_key,0
9441,0.6400378999969689,1,5,critical,30,expected_semantic,in_key,0
9441,0.7370226999919396,1,7,post_critical,30,expected_semantic,in_key,0
9441,0.8280512000055751,1,5,non_critical,30,expected_semantic,in_key,0
9441,0.5976548000035109,1,6,non_critical,30,expected_semantic,in_key,0
9441,0.8583675999980187,1,17,post_critical,2,filler,in_key,0
9441,0.9655238999985158,1,22,non_critical,2,filler,in_key,0
9441,0.776068999999552,1,8,non_critical,2,filler,in_key,0
9441,0.6179140000022016,1,10,non_critical,2,filler,in_key,0
9441,1.1795246000110637,1,22,non_critical,2,filler,in_key,0
9441,0.7534150999999838,1,14,non_critical,32,unexpected_semantic,in_key,0
9441,1.0075765999936266,1,18,non_critical,32,unexpected_semantic,in_key,0
9441,0.5473002999933669,1,7,non_critical,32,unexpected_semantic,in_key,0
9441,0.6199371999973664,1,12,non_critical,32,unexpected_semantic,in_key,0
9441,0.5797242999979062,1,7,non_critical,32,unexpected_semantic,in_key,0
9441,0.551530199998524,1,9,pre_critical,32,unexpected_semantic,in_key,0
9441,0.623910900001647,1,10,critical,32,unexpected_semantic,in_key,0
9441,0.635021299996879,1,8,post_critical,32,unexpected_semantic,in_key,0
9441,0.5903890000045067,1,10,non_critical,32,unexpected_semantic,in_key,0
9441,0.6722535000008065,1,6,non_critical,41,unexpected_syntactic,in_key,0
9441,0.5775248999998439,1,12,non_critical,41,unexpected_syntactic,in_key,0
9441,0.6130031999928178,1,14,non_critical,41,unexpected_syntactic,in_key,0
9441,0.6011581000057049,1,9,non_critical,41,unexpected_syntactic,in_key,0
9441,0.596582899990608,1,15,pre_critical,41,unexpected_syntactic,in_key,0
9441,0.5884742000052938,1,5,critical,41,unexpected_syntactic,in_key,0
9441,0.6024771999946097,1,8,post_critical,41,unexpected_syntactic,in_key,0
9441,0.5482481000071857,1,11,non_critical,41,unexpected_syntactic,in_key,0
9441,2.34603369999968,1,13,non_critical,41,unexpected_syntactic,in_key,0
9441,0.6947507000004407,1,5,post_critical,16,filler,in_key,0
9441,0.5412441000080435,1,13,non_critical,16,filler,in_key,0
9441,0.5463295999943512,1,10,non_critical,16,filler,in_key,0
9441,0.5491246999881696,1,11,non_critical,16,filler,in_key,0
9441,0.5326401000056649,1,14,non_critical,16,filler,in_key,0
9441,0.5319449999951757,1,10,non_critical,16,filler,in_key,0
9441,0.5567299000103958,1,3,post_critical,8,filler,in_key,0
9441,0.5286765999917407,1,14,non_critical,8,filler,in_key,0
9441,0.5052835999958916,1,11,non_critical,8,filler,in_key,0
9441,0.5960361999896122,1,13,non_critical,8,filler,in_key,0
9441,0.5241267999954289,1,10,non_critical,8,filler,in_key,0
9441,0.614557099994272,1,7,non_critical,8,filler,in_key,0
9441,0.5729216999898199,1,6,post_critical,18,filler,in_key,0
9441,0.5864671000017552,1,13,non_critical,18,filler,in_key,0
9441,0.5589561000087997,1,9,non_critical,18,filler,in_key,0
9441,0.5054225000058068,1,5,non_critical,18,filler,in_key,0
9441,0.5015483000024687,1,9,non_critical,18,filler,in_key,0
9441,0.47486980000394396,1,12,non_critical,18,filler,in_key,0
9441,0.6680952000024263,1,16,non_critical,18,filler,in_key,0
9441,0.5316193000035128,1,12,post_critical,19,filler,in_key,0
9441,0.5119765999988886,1,5,non_critical,19,filler,in_key,0
9441,0.49391089999699034,1,9,non_critical,19,filler,in_key,0
9441,0.5131636000005528,1,6,non_critical,19,filler,in_key,0
9441,0.5136432999861427,1,10,non_critical,19,filler,in_key,0
9441,0.5203340000007302,1,5,non_critical,19,filler,in_key,0
9441,0.9646399000048405,1,17,non_critical,19,filler,in_key,0
9441,0.5736506000102963,1,14,non_critical,38,unexpected_syntactic,in_key,0
9441,0.5304973000020254,1,9,non_critical,38,unexpected_syntactic,in_key,0
9441,0.5872132999938913,1,15,non_critical,38,unexpected_syntactic,in_key,0
9441,0.5570338000106858,1,11,non_critical,38,unexpected_syntactic,in_key,0
9441,0.5871468999976059,1,16,pre_critical,38,unexpected_syntactic,in_key,0
9441,0.6189955999871017,1,5,critical,38,unexpected_syntactic,in_key,0
9441,0.49682689999463037,1,7,post_critical,38,unexpected_syntactic,in_key,0
9441,0.5423887999932049,1,9,non_critical,38,unexpected_syntactic,in_key,0
9441,0.6134233000047971,1,12,non_critical,38,unexpected_syntactic,in_key,0
9441,0.6084858999965945,1,4,non_critical,28,expected_semantic,in_key,0
9441,0.5002677000011317,1,9,non_critical,28,expected_semantic,in_key,0
9441,0.9530434000043897,1,13,non_critical,28,expected_semantic,in_key,0
9441,0.5151742000016384,1,14,non_critical,28,expected_semantic,in_key,0
9441,0.5578985999891302,1,14,pre_critical,28,expected_semantic,in_key,0
9441,0.5503301999997348,1,7,critical,28,expected_semantic,in_key,0
9441,0.4862228999991203,1,5,post_critical,28,expected_semantic,in_key,0
9441,0.5056074000021908,1,13,non_critical,28,expected_semantic,in_key,0
9441,0.5184194000030402,1,9,non_critical,28,expected_semantic,in_key,0
9441,0.570729900005972,1,4,non_critical,27,expected_semantic,in_key,0
9441,0.5043570999987423,1,9,non_critical,27,expected_semantic,in_key,0
9441,0.4762351999961538,1,10,non_critical,27,expected_semantic,in_key,0
9441,0.5082727999979397,1,16,non_critical,27,expected_semantic,in_key,0
9441,1.051215300001786,1,17,pre_critical,27,expected_semantic,in_key,0
9441,0.622176999997464,1,18,critical,27,expected_semantic,in_key,0
9441,0.5439431999984663,1,4,post_critical,27,expected_semantic,in_key,0
9441,0.48442309998790734,1,5,non_critical,27,expected_semantic,in_key,0
9441,0.4792172000015853,1,7,non_critical,27,expected_semantic,in_key,0
9441,0.5195049000030849,1,6,non_critical,45,expected_syntactic,in_key,0
9441,0.5163210000027902,1,16,non_critical,45,expected_syntactic,in_key,0
9441,0.5543341999873519,1,13,non_critical,45,expected_syntactic,in_key,0
9441,0.5354428999999072,1,15,non_critical,45,expected_syntactic,in_key,0
9441,0.5755721999885282,1,12,non_critical,45,expected_syntactic,in_key,0
9441,0.5660834000009345,1,22,pre_critical,45,expected_syntactic,in_key,0
9441,0.5840355999971507,1,5,critical,45,expected_syntactic,in_key,0
9441,0.49180890001298394,1,9,post_critical,45,expected_syntactic,in_key,0
9441,0.475097900009132,1,13,non_critical,45,expected_syntactic,in_key,0
9441,0.45563499999116175,1,13,non_critical,45,expected_syntactic,in_key,0
9441,0.5636986000026809,1,21,post_critical,9,filler,in_key,0
9441,0.5224645999987843,1,8,non_critical,9,filler,in_key,0
9441,0.5018739000079222,1,6,non_critical,9,filler,in_key,0
9441,0.5553087000007508,1,17,non_critical,9,filler,in_key,0
9441,0.5175886000070022,1,9,non_critical,9,filler,in_key,0
9441,0.5241640999884112,1,10,non_critical,9,filler,in_key,0
9441,0.5020074999920325,1,6,post_critical,15,filler,in_key,0
9441,0.5317106000002241,1,10,non_critical,15,filler,in_key,0
9441,0.5199408000044059,1,12,non_critical,15,filler,in_key,0
9441,1.2139345000032336,1,12,non_critical,15,filler,in_key,0
