participant_id,reading_time,correct,characters,segment_category,sentence_number,sentence_type,music_condition,music_experience
85215,0.8857098000007682,1,9,post_critical,14,filler,in_key,4
85215,0.8326916000078199,1,9,non_critical,14,filler,in_key,4
85215,0.9640635999967344,1,16,non_critical,14,filler,in_key,4
85215,0.9644451000058325,1,8,non_critical,14,filler,in_key,4
85215,0.8579621000098996,1,11,non_critical,14,filler,in_key,4
85215,1.0336546000035014,1,18,non_critical,14,filler,in_key,4
85215,0.9103283000004012,1,12,post_critical,19,filler,in_key,4
85215,0.9215130999946268,1,5,non_critical,19,filler,in_key,4
85215,1.048091899996507,1,9,non_critical,19,filler,in_key,4
85215,0.905272200005129,1,6,non_critical,19,filler,in_key,4
85215,0.7881526999990456,1,10,non_critical,19,filler,in_key,4
85215,0.8378917999943951,1,5,non_critical,19,filler,in_key,4
85215,0.8593149000080302,1,17,non_critical,19,filler,in_key,4
85215,0.7210697999980766,1,14,non_critical,38,unexpected_syntactic,in_key,4
85215,0.737301999994088,1,9,non_critical,38,unexpected_syntactic,in_key,4
85215,0.7960543999943184,1,15,non_critical,38,unexpected_syntactic,in_key,4
85215,0.8235980000026757,1,11,non_critical,38,unexpected_syntactic,in_key,4
85215,0.7811638999992283,1,16,pre_critical,38,unexpected_syntactic,in_key,4
85215,0.7927912000013748,1,5,critical,38,unexpected_syntactic,in_key,4
85215,0.8071251000073971,1,7,post_critical,38,unexpected_syntactic,in_key,4
85215,0.7212049000081606,1,9,non_critical,38,unexpected_syntactic,in_key,4
85215,0.7815559000009671,1,12,non_critical,38,unexpected_syntactic,in_key,4
85215,1.5992420999973547,1,22,non_critical,20,filler_out_of_key,out_of_key,4
85215,0.8889804999926127,1,9,non_critical,20,filler_out_of_key,out_of_key,4
85215,0.6481474000029266,1,17,pre_critical,20,filler_out_of_key,out_of_key,4
85215,0.6654178999888245,1,10,critical,20,filler_out_of_key,out_of_key,4
85215,0.6163715000002412,1,11,post_critical,20,filler_out_of_key,out_of_key,4
85215,0.6884732000035001,1,12,non_critical,20,filler_out_of_key,out_of_key,4
85215,0.6311388000031002,1,10,non_critical,20,filler_out_of_key,out_of_key,4
85215,0.7791474999976344,1,6,non_critical,41,unexpected_syntactic,in_key,4
85215,0.6221434000035515,1,12,non_critical,41,unexpected_syntactic,in_key,4
85215,0.699887700000545,1,14,non_critical,41,unexpected_syntactic,in_key,4
85215,0.699257200001739,1,9,non_critical,41,unexpected_syntactic,in_key,4
85215,0.7274047000100836,1,15,pre_critical,41,unexpected_syntactic,in_key,4
85215,0.7403613999922527,1,5,critical,41,unexpected_syntactic,in_key,4
85215,0.7249631999875419,1,8,post_critical,41,unexpected_syntactic,in_key,4
85215,0.741096199999447,1,11,non_critical,41,unexpected_syntactic,in_key,4
85215,0.8114502000098582,1,13,non_critical,41,unexpected_syntactic,in_key,4
85215,0.6282081000099424,0,4,non_critical,29,unexpected_semantic,in_key,4
85215,0.5965372000064235,0,9,non_critical,29,unexpected_semantic,in_key,4
85215,0.6301077999960398,0,7,non_critical,29,unexpected_semantic,in_key,4
85215,0.643837399999029,0,10,non_critical,29,unexpected_semantic,in_key,4
85215,0.625130700005684,0,13,pre_critical,29,unexpected_semantic,in_key,4
85215,0.6505902999924729,0,11,critical,29,unexpected_semantic,in_key,4
85215,0.6780231000011554,0,14,post_critical,29,unexpected_semantic,in_key,4
85215,0.6431599999923492,0,7,non_critical,29,unexpected_semantic,in_key,4
85215,0.6283342999959132,0,11,non_critical,29,unexpected_semantic,in_key,4
85215,0.746140600007493,0,21,post_critical,9,filler,in_key,4
85215,0.7605374999984633,0,8,non_critical,9,filler,in_key,4
85215,0.796607700001914,0,6,non_critical,9,filler,in_key,4
85215,0.7814686000056099,0,17,non_critical,9,filler,in_key,4
85215,0.7280350000073668,0,9,non_critical,9,filler,in_key,4
85215,0.6948622000054456,0,10,non_critical,9,filler,in_key,4
85215,0.7395183000044199,1,4,non_critical,36,expected_semantic,in_key,4
85215,0.8622231000044849,1,8,non_critical,36,expected_semantic,in_key,4
85215,0.6855278000002727,1,9,non_critical,36,expected_semantic,in_key,4
85215,0.6843889000010677,1,11,non_critical,36,expected_semantic,in_key,4
85215,0.7212585000088438,1,18,non_critical,36,expected_semantic,in_key,4
85215,0.6497613999963505,1,4,non_critical,36,expected_semantic,in_key,4
85215,0.740929400009918,1,10,pre_critical,36,expected_semantic,in_key,4
85215,0.5776632999914,1,12,critical,36,expected_semantic,in_key,4
85215,0.503706699993927,1,6,post_critical,36,expected_semantic,in_key,4
85215,0.4945690000022296,1,9,non_critical,36,expected_semantic,in_key,4
85215,0.5725894999923185,1,7,non_critical,47,expected_syntactic,in_key,4
85215,0.5437133999948855,1,16,non_critical,47,expected_syntactic,in_key,4
85215,0.5547856999910437,1,15,non_critical,47,expected_syntactic,in_key,4
85215,0.5828570000012405,1,10,non_critical,47,expected_syntactic,in_key,4
85215,0.6024576999916462,1,14,non_critical,47,expected_syntactic,in_key,4
85215,0.577542099999846,1,13,pre_critical,47,expected_syntactic,in_key,4
85215,0.5824695999908727,1,7,critical,47,expected_syntactic,in_key,4
85215,0.5598621999961324,1,8,post_critical,47,expected_syntactic,in_key,4
85215,0.5800086000090232,1,12,non_critical,47,expected_syntactic,in_key,4
85215,0.6103512999980012,1,9,non_critical,47,expected_syntactic,in_key,4
85215,0.5923177000076976,1,15,non_critical,47,expected_syntactic,in_key,4
85215,0.4991796999966027,1,6,post_critical,21,filler,in_key,4
85215,0.6835371000051964,1,25,non_critical,21,filler,in_key,4
85215,0.7788672000024235,1,7,non_critical,21,filler,in_key,4
85215,0.5949024000001373,1,12,non_critical,21,filler,in_key,4
85215,0.7229255999991437,1,12,non_critical,21,filler,in_key,4
85215,0.6711298000009265,1,6,non_critical,21,filler,in_key,4
85215,0.8608590999938315,1,13,non_critical,21,filler,in_key,4
85215,0.594034499998088,1,12,non_critical,21,filler,in_key,4
85215,0.6181948000012198,1,4,non_critical,34,expected_semantic,in_key,4
85215,0.655448500008788,1,16,non_critical,34,expected_semantic,in_key,4
85215,0.682543999995687,1,8,non_critical,34,expected_semantic,in_key,4
85215,0.6798705999972299,1,10,non_critical,34,expected_semantic,in_key,4
85215,0.6936894000100438,1,15,non_critical,34,expected_semantic,in_key,4
85215,0.6194985999900382,1,8,pre_critical,34,expected_semantic,in_key,4
85215,0.6494177999993553,1,8,critical,34,expected_semantic,in_key,4
85215,0.6485132000088925,1,9,post_critical,34,expected_semantic,in_key,4
85215,0.6540246000076877,1,5,non_critical,34,expected_semantic,in_key,4
85215,0.7493143000028795,1,15,non_critical,34,expected_semantic,in_key,4
85215,0.486990399993374,1,6,post_critical,17,filler,in_key,4
85215,0.39334680000320077,1,9,non_critical,17,filler,in_key,4
85215,0.418081700001494,1,8,non_critical,17,filler,in_key,4
85215,0.41003750001254957,1,11,non_critical,17,filler,in_key,4
85215,0.41359530000772793,1,9,non_critical,17,filler,in_key,4
85215,0.4154601000045659,1,8,non_critical,17,filler,in_key,4
85215,0.4150216999987606,1,16,non_critical,17,filler,in_key,4
85215,0.4274147999967681,1,11,post_critical,5,filler,in_key,4
85215,0.3662133000034373,1,5,non_critical,5,filler,in_key,4
85215,0.3641957999934675,1,11,non_critical,5,filler,in_key,4
85215,0.3948326999961864,1,7,non_critical,5,filler,in_key,4
85215,0.344707299998845,1,10,non_critical,5,filler,in_key,4
85215,0.3011941000004299,1,9,non_critical,5,filler,in_key,4
85215,0.29585159999260213,0,4,non_critical,31,expected_semantic,in_key,4
85215,0.2944573999993736,0,9,non_critical,31,expected_semantic,in_key,4
85215,0.27770770000643097,0,9,non_critical,31,expected_semantic,in_key,4
85215,0.27402889999211766,0,17,non_critical,31,expected_semantic,in_key,4
85215,0.2638170000136597,0,13,pre_critical,31,expected_semantic,in_key,4
85215,0.2644767000019783,0,14,critical,31,expected_semantic,in_key,4
85215,0.2534416999988025,0,6,post_critical,31,expected_semantic,in_key,4
85215,0.2934753000008641,0,5,non_critical,31,expected_semantic,in_key,4
85215,0.25813539999944624,0,7,non_critical,31,expected_semantic,in_key,4
85215,0.2750792000006186,0,8,non_critical,31,expected_semantic,in_key,4
85215,0.2660755000106292,0,6,non_critical,31,expected_semantic,in_key,4
85215,0.41950820000784006,1,7,non_critical,43,expected_syntactic,in_key,4
85215,0.3057894999947166,1,14,non_critical,43,expected_syntactic,in_key,4
85215,0.30543299998680595,1,13,non_critical,43,expected_syntactic,in_key,4
85215,0.314017500000773,1,13,non_critical,43,expected_syntactic,in_key,4
85215,0.2953771000029519,1,14,pre_critical,43,expected_syntactic,in_key,4
85215,0.29984319998766296,1,5,critical,43,expected_syntactic,in_key,4
85215,0.44686920000822283,1,13,post_critical,43,expected_syntactic,in_key,4
85215,0.3625686000013957,1,4,non_critical,43,expected_syntactic,in_key,4
85215,0.34245860000373796,1,8,non_critical,43,expected_syntactic,in_key,4
85215,0.3325928999984171,1,16,non_critical,43,expected_syntactic,in_key,4
85215,0.36045279999962077,1,11,non_critical,43,expected_syntactic,in_key,4
85215,0.3462941000034334,1,17,post_critical,2,filler,in_key,4
85215,0.34670460000052117,1,22,non_critical,2,filler,in_key,4
85215,0.3951053999917349,1,8,non_critical,2,filler,in_key,4
85215,0.372578299997258,1,10,non_critical,2,filler,in_key,4
85215,0.3628096999891568,1,22,non_critical,2,filler,in_key,4
85215,0.2816802000015741,1,4,non_critical,27,unexpected_semantic,in_key,4
85215,0.2901908000058029,1,9,non_critical,27,unexpected_semantic,in_key,4
85215,0.30794430000241846,1,10,non_critical,27,unexpected_semantic,in_key,4
85215,0.31814370000211056,1,11,non_critical,27,unexpected_semantic,in_key,4
85215,0.300985199995921,1,17,pre_critical,27,unexpected_semantic,in_key,4
85215,0.3233341000013752,1,18,critical,27,unexpected_semantic,in_key,4
85215,0.3303706000006059,1,4,post_critical,27,unexpected_semantic,in_key,4
85215,0.33124810000299476,1,5,non_critical,27,unexpected_semantic,in_key,4
85215,0.32964569999603555,1,7,non_critical,27,unexpected_semantic,in_key,4
85215,0.2956607999949483,0,14,non_critical,32,expected_semantic,in_key,4
85215,0.31216060000588186,0,18,non_critical,32,expected_semantic,in_key,4
85215,0.31847140000900254,0,7,non_critical,32,expected_semantic,in_key,4
85215,0.342712700003176,0,19,non_critical,32,expected_semantic,in_key,4
85215,0.34636509999108966,0,7,non_critical,32,expected_semantic,in_key,4
85215,0.6563492999994196,0,9,pre_critical,32,expected_semantic,in_key,4
85215,0.39172850000613835,0,10,critical,32,expected_semantic,in_key,4
85215,0.3472384000051534,0,8,post_critical,32,expected_semantic,in_key,4
85215,0.3416494999983115,0,10,non_critical,32,expected_semantic,in_key,4
85215,0.3020758000056958,1,3,post_critical,22,filler,in_key,4
85215,0.27330060000531375,1,15,non_critical,22,filler,in_key,4
85215,0.2589334000076633,1,10,non_critical,22,filler,in_key,4
85215,0.22975830000359565,1,7,non_critical,22,filler,in_key,4
85215,0.2354602999985218,1,19,non_critical,22,filler,in_key,4
85215,0.22902299999259412,1,14,non_critical,22,filler,in_key,4
85215,0.23193119998904876,1,7,non_critical,22,filler,in_key,4
85215,0.23970570000528824,1,15,non_critical,22,filler,in_key,4
85215,0.4981936999975005,1,7,non_critical,23,filler_out_of_key,out_of_key,4
85215,0.3193740999995498,1,20,non_critical,23,filler_out_of_key,out_of_key,4
85215,0.33337809999648016,1,15,non_critical,23,filler_out_of_key,out_of_key,4
85215,0.3176054000068689,1,15,non_critical,23,filler_out_of_key,out_of_key,4
85215,0.7785524999926565,1,5,pre_critical,23,filler_out_of_key,out_of_key,4
85215,1.7765467999997782,1,8,critical,23,filler_out_of_key,out_of_key,4
85215,0.9123263000074076,1,13,post_critical,23,filler_out_of_key,out_of_key,4
85215,0.39757620000455063,1,10,non_critical,23,filler_out_of_key,out_of_key,4
85215,0.6346849999972619,1,4,non_critical,35,expected_semantic,in_key,4
85215,0.5041756999999052,1,9,non_critical,35,expected_semantic,in_key,4
85215,0.5188740000012331,1,9,non_critical,35,expected_semantic,in_key,4
85215,0.5020781000057468,1,6,non_critical,35,expected_semantic,in_key,4
85215,0.5023632000084035,1,16,non_critical,35,expected_semantic,in_key,4
85215,0.4332923000038136,1,13,pre_critical,35,expected_semantic,in_key,4
85215,0.3765750000020489,1,8,critical,35,expected_semantic,in_key,4
85215,0.395004300007713,1,4,post_critical,35,expected_semantic,in_key,4
85215,0.37313110000104643,1,14,non_critical,35,expected_semantic,in_key,4
85215,0.38738100000773557,1,8,non_critical,35,expected_semantic,in_key,4
85215,0.37444419998792,1,3,non_critical,35,expected_semantic,in_key,4
85215,0.5572536999970907,1,14,non_critical,46,expected_syntactic,in_key,4
85215,0.33898479999334086,1,15,non_critical,46,expected_syntactic,in_key,4
85215,0.317830399988452,1,10,non_critical,46,expected_syntactic,in_key,4
85215,0.3398025000060443,1,16,non_critical,46,expected_syntactic,in_key,4
85215,0.34681249999266583,1,15,non_critical,46,expected_syntactic,in_key,4
85215,0.3512224000005517,1,11,pre_critical,46,expected_syntactic,in_key,4
85215,0.38759560001199134,1,7,critical,46,expected_syntactic,in_key,4
85215,0.3816955000074813,1,5,post_critical,46,expected_syntactic,in_key,4
85215,0.4176000000006752,1,10,non_critical,46,expected_syntactic,in_key,4
