participant_id,reading_time,correct,characters,segment_category,sentence_number,sentence_type,music_condition,music_experience
85091,0.5170948000159115,0,3,post_critical,6,filler,in_key,7
85091,0.3218425000086427,0,12,non_critical,6,filler,in_key,7
85091,0.31239720003213733,0,11,non_critical,6,filler,in_key,7
85091,0.38106189999962226,0,13,non_critical,6,filler,in_key,7
85091,0.3736778000020422,0,10,non_critical,6,filler,in_key,7
85091,0.4593126999679953,0,9,non_critical,6,filler,in_key,7
85091,0.4879835000028834,1,9,non_critical,37,expected_syntactic,in_key,7
85091,0.3611360999639146,1,10,non_critical,37,expected_syntactic,in_key,7
85091,0.4614152999711223,1,15,non_critical,37,expected_syntactic,in_key,7
85091,0.5370950000360608,1,17,non_critical,37,expected_syntactic,in_key,7
85091,0.4820825000060722,1,12,pre_critical,37,expected_syntactic,in_key,7
85091,0.4586509999935515,1,7,critical,37,expected_syntactic,in_key,7
85091,0.35761249996721745,1,9,post_critical,37,expected_syntactic,in_key,7
85091,0.3995106999645941,1,7,non_critical,37,expected_syntactic,in_key,7
85091,0.3936190999811515,1,13,non_critical,37,expected_syntactic,in_key,7
85091,0.6175523000420071,0,17,non_critical,39,expected_syntactic,in_key,7
85091,0.4078391999937594,0,14,non_critical,39,expected_syntactic,in_key,7
85091,0.5163719999836758,0,21,non_critical,39,expected_syntactic,in_key,7
85091,0.48614669998642057,0,15,non_critical,39,expected_syntactic,in_key,7
85091,0.4287035000161268,0,11,pre_critical,39,expected_syntactic,in_key,7
85091,0.514304100011941,0,7,critical,39,expected_syntactic,in_key,7
85091,0.6510453000082634,0,4,post_critical,39,expected_syntactic,in_key,7
85091,0.6524262000457384,0,16,non_critical,39,expected_syntactic,in_key,7
85091,0.9517753000254743,0,11,non_critical,39,expected_syntactic,in_key,7
85091,0.5131055000238121,1,4,non_critical,29,expected_semantic,in_key,7
85091,0.44164610002189875,1,9,non_critical,29,expected_semantic,in_key,7
85091,0.5891044999589212,1,7,non_critical,29,expected_semantic,in_key,7
85091,0.4967901000054553,1,21,non_critical,29,expected_semantic,in_key,7
85091,0.5100051999907009,1,13,pre_critical,29,expected_semantic,in_key,7
85091,0.49759959999937564,1,11,critical,29,expected_semantic,in_key,7
85091,0.5321123999892734,1,14,post_critical,29,expected_semantic,in_key,7
85091,0.5022004999918863,1,7,non_critical,29,expected_semantic,in_key,7
85091,0.46266099996864796,1,11,non_critical,29,expected_semantic,in_key,7
85091,0.5423478999873623,0,11,post_critical,5,filler,in_key,7
85091,0.4885853999876417,0,5,non_critical,5,filler,in_key,7
85091,0.50159200001508,0,11,non_critical,5,filler,in_key,7
85091,0.5440774000016972,0,7,non_critical,5,filler,in_key,7
85091,0.47841079998761415,0,10,non_critical,5,filler,in_key,7
85091,0.4281846000230871,0,9,non_critical,5,filler,in_key,7
85091,0.48666679998859763,1,6,post_critical,21,filler,in_key,7
85091,0.39391330000944436,1,25,non_critical,21,filler,in_key,7
85091,0.42022789997281507,1,7,non_critical,21,filler,in_key,7
85091,0.4216121000354178,1,12,non_critical,21,filler,in_key,7
85091,0.3891688999719918,1,12,non_critical,21,filler,in_key,7
85091,0.44498400000156835,1,6,non_critical,21,filler,in_key,7
85091,0.4362414000206627,1,13,non_critical,21,filler,in_key,7
85091,0.6258515000226907,1,12,non_critical,21,filler,in_key,7
85091,0.47939189994940534,1,11,non_critical,44,unexpected_syntactic,in_key,7
85091,0.38683679996756837,1,13,non_critical,44,unexpected_syntactic,in_key,7
85091,0.4659650000394322,1,16,non_critical,44,unexpected_syntactic,in_key,7
85091,0.44191150000551715,1,18,non_critical,44,unexpected_syntactic,in_key,7
85091,0.4931613000226207,1,9,non_critical,44,unexpected_syntactic,in_key,7
85091,0.44181730004493147,1,11,pre_critical,44,unexpected_syntactic,in_key,7
85091,0.4612345999921672,1,5,critical,44,unexpected_syntactic,in_key,7
85091,0.47261459997389466,1,18,post_critical,44,unexpected_syntactic,in_key,7
85091,0.5132404999458231,1,13,non_critical,44,unexpected_syntactic,in_key,7
85091,0.46986409998498857,0,6,post_critical,15,filler,in_key,7
85091,0.433029500010889,0,10,non_critical,15,filler,in_key,7
85091,0.4299022000050172,0,12,non_critical,15,filler,in_key,7
85091,0.43846539995865896,0,12,non_critical,15,filler,in_key,7
85091,0.4201863000052981,0,7,non_critical,15,filler,in_key,7
85091,0.4229343999759294,0,19,non_critical,15,filler,in_key,7
85091,0.4635597000014968,1,7,non_critical,43,unexpected_syntactic,in_key,7
85091,0.3928901999606751,1,14,non_critical,43,unexpected_syntactic,in_key,7
85091,0.4042267000186257,1,13,non_critical,43,unexpected_syntactic,in_key,7
85091,0.40015490003861487,1,8,non_critical,43,unexpected_syntactic,in_key,7
85091,0.46196809998946264,1,14,pre_critical,43,unexpected_syntactic,in_key,7
85091,0.43907389999367297,1,5,critical,43,unexpected_syntactic,in_key,7
85091,0.5389881999581121,1,13,post_critical,43,unexpected_syntactic,in_key,7
85091,0.42586939997272566,1,4,non_critical,43,unexpected_syntactic,in_key,7
85091,0.3803779000299983,1,8,non_critical,43,unexpected_syntactic,in_key,7
85091,0.3965372000238858,1,16,non_critical,43,unexpected_syntactic,in_key,7
85091,0.4044582999777049,1,11,non_critical,43,unexpected_syntactic,in_key,7
85091,0.43584319995716214,0,6,post_critical,18,filler,in_key,7
85091,0.39121550001436844,0,13,non_critical,18,filler,in_key,7
85091,0.40363740001339465,0,9,non_critical,18,filler,in_key,7
85091,0.42930710001382977,0,5,non_critical,18,filler,in_key,7
85091,0.5029585000011139,0,9,non_critical,18,filler,in_key,7
85091,0.44170359999407083,0,12,non_critical,18,filler,in_key,7
85091,0.5241873000049964,0,16,non_critical,18,filler,in_key,7
85091,0.5095045999623835,1,6,post_critical,17,filler,in_key,7
85091,0.5280850999988616,1,9,non_critical,17,filler,in_key,7
85091,0.42894120002165437,1,8,non_critical,17,filler,in_key,7
85091,0.43463079998036847,1,11,non_critical,17,filler,in_key,7
85091,0.3942096999962814,1,9,non_critical,17,filler,in_key,7
85091,0.42823000001953915,1,8,non_critical,17,filler,in_key,7
85091,0.3936709999688901,1,16,non_critical,17,filler,in_key,7
85091,0.4297518999665044,1,4,non_critical,26,expected_semantic,in_key,7
85091,0.3816115999943577,1,17,non_critical,26,expected_semantic,in_key,7
85091,0.43760760000441223,1,13,non_critical,26,expected_semantic,in_key,7
85091,0.5662884000339545,1,15,non_critical,26,expected_semantic,in_key,7
85091,0.52813370001968,1,8,pre_critical,26,expected_semantic,in_key,7
85091,0.44751630001701415,1,14,critical,26,expected_semantic,in_key,7
85091,0.4957287000142969,1,5,post_critical,26,expected_semantic,in_key,7
85091,0.5564759999979287,1,4,non_critical,26,expected_semantic,in_key,7
85091,0.4994377000257373,1,6,non_critical,26,expected_semantic,in_key,7
85091,0.5132148999837227,1,7,non_critical,48,unexpected_syntactic,in_key,7
85091,0.4551748000085354,1,14,non_critical,48,unexpected_syntactic,in_key,7
85091,0.38251490000402555,1,15,non_critical,48,unexpected_syntactic,in_key,7
85091,0.47861539997393265,1,19,non_critical,48,unexpected_syntactic,in_key,7
85091,0.5558839000295848,1,10,non_critical,48,unexpected_syntactic,in_key,7
85091,0.4998850999982096,1,14,non_critical,48,unexpected_syntactic,in_key,7
85091,0.5470267000491731,1,26,pre_critical,48,unexpected_syntactic,in_key,7
85091,0.6625675999675877,1,5,critical,48,unexpected_syntactic,in_key,7
85091,0.4320114000001922,1,13,post_critical,48,unexpected_syntactic,in_key,7
85091,0.43780059996061027,1,20,non_critical,48,unexpected_syntactic,in_key,7
85091,0.4590458000311628,1,4,non_critical,25,expected_semantic,in_key,7
85091,0.423440299986396,1,8,non_critical,25,expected_semantic,in_key,7
85091,0.4711391999735497,1,10,non_critical,25,expected_semantic,in_key,7
85091,0.4863191000185907,1,16,non_critical,25,expected_semantic,in_key,7
85091,0.41775999998208135,1,11,pre_critical,25,expected_semantic,in_key,7
85091,0.3901588000007905,1,10,critical,25,expected_semantic,in_key,7
85091,0.41413639998063445,1,6,post_critical,25,expected_semantic,in_key,7
85091,0.42251399997621775,1,6,non_critical,25,expected_semantic,in_key,7
85091,0.42319729999871925,1,9,non_critical,25,expected_semantic,in_key,7
85091,0.4679325000033714,1,4,non_critical,28,expected_semantic,in_key,7
85091,0.39355420001083985,1,9,non_critical,28,expected_semantic,in_key,7
85091,0.39001339999958873,1,13,non_critical,28,expected_semantic,in_key,7
85091,0.4025645999936387,1,14,non_critical,28,expected_semantic,in_key,7
85091,0.4040891999611631,1,14,pre_critical,28,expected_semantic,in_key,7
85091,0.3901452000136487,1,7,critical,28,expected_semantic,in_key,7
85091,0.459982400003355,1,5,post_critical,28,expected_semantic,in_key,7
85091,0.3936627999646589,1,13,non_critical,28,expected_semantic,in_key,7
85091,0.4857530000153929,1,9,non_critical,28,expected_semantic,in_key,7
