participant_id,reading_time,correct,characters,segment_category,sentence_number,sentence_type,music_condition,Gold_MSI_index
85420,2.7240699999965727,1,17,non_critical,39,expected_syntactic,out_of_key,32
85420,1.2680297999177128,1,14,non_critical,39,expected_syntactic,out_of_key,32
85420,0.665674600051716,1,21,non_critical,39,expected_syntactic,out_of_key,32
85420,0.8206958000082523,1,15,non_critical,39,expected_syntactic,out_of_key,32
85420,0.8596916000824422,1,11,pre_critical,39,expected_syntactic,out_of_key,32
85420,0.5117401999887079,1,7,critical,39,expected_syntactic,out_of_key,32
85420,0.4702071000356227,1,4,post_critical,39,expected_syntactic,out_of_key,32
85420,0.4511087001301348,1,16,non_critical,39,expected_syntactic,out_of_key,32
85420,0.5204248998779804,1,11,non_critical,39,expected_syntactic,out_of_key,32
85420,1.1297138999216259,1,13,non_critical,3,filler_out_of_key,out_of_key,32
85420,1.07190450001508,1,9,pre_critical,3,filler_out_of_key,out_of_key,32
85420,0.7356591999996454,1,6,critical,3,filler_out_of_key,out_of_key,32
85420,0.46109410002827644,1,16,post_critical,3,filler_out_of_key,out_of_key,32
85420,0.3966737000737339,1,6,non_critical,3,filler_out_of_key,out_of_key,32
85420,0.5894484000746161,1,3,non_critical,22,filler,in_key,32
85420,0.4248840999789536,1,15,non_critical,22,filler,in_key,32
85420,0.636340499855578,1,10,non_critical,22,filler,in_key,32
85420,0.5159394000656903,1,7,non_critical,22,filler,in_key,32
85420,0.8414439999032766,1,19,non_critical,22,filler,in_key,32
85420,0.617518899962306,1,14,non_critical,22,filler,in_key,32
85420,0.5419398001395166,1,7,non_critical,22,filler,in_key,32
85420,0.41185180004686117,1,15,non_critical,22,filler,in_key,32
85420,0.2692443998530507,1,6,non_critical,41,expected_syntactic,in_key,32
85420,0.512543500168249,1,12,non_critical,41,expected_syntactic,in_key,32
85420,0.5997473001480103,1,14,non_critical,41,expected_syntactic,in_key,32
85420,0.8444533001165837,1,14,non_critical,41,expected_syntactic,in_key,32
85420,0.7234143000096083,1,15,pre_critical,41,expected_syntactic,in_key,32
85420,0.5832664000336081,1,5,critical,41,expected_syntactic,in_key,32
85420,0.6003519999794662,1,8,post_critical,41,expected_syntactic,in_key,32
85420,0.39149040007032454,1,11,non_critical,41,expected_syntactic,in_key,32
85420,0.4113308999221772,1,13,non_critical,41,expected_syntactic,in_key,32
85420,0.49873020011000335,1,3,non_critical,8,filler,in_key,32
85420,0.5997729999944568,1,14,non_critical,8,filler,in_key,32
85420,0.6375533000100404,1,11,non_critical,8,filler,in_key,32
85420,0.645091500133276,1,13,non_critical,8,filler,in_key,32
85420,0.5123004000633955,1,10,non_critical,8,filler,in_key,32
85420,0.43090600008144975,1,7,non_critical,8,filler,in_key,32
85420,0.4421995999291539,1,4,non_critical,34,expected_semantic,out_of_key,32
85420,0.5146419999655336,1,16,non_critical,34,expected_semantic,out_of_key,32
85420,0.5764450000133365,1,8,non_critical,34,expected_semantic,out_of_key,32
85420,0.7158397000748664,1,10,non_critical,34,expected_semantic,out_of_key,32
85420,0.4796951001044363,1,15,non_critical,34,expected_semantic,out_of_key,32
85420,0.4586175000295043,1,8,pre_critical,34,expected_semantic,out_of_key,32
85420,0.6591714997775853,1,8,critical,34,expected_semantic,out_of_key,32
85420,0.6811472999397665,1,9,post_critical,34,expected_semantic,out_of_key,32
85420,0.4678517000284046,1,5,non_critical,34,expected_semantic,out_of_key,32
85420,0.4411229998804629,1,15,non_critical,34,expected_semantic,out_of_key,32
85420,0.545374299865216,1,4,non_critical,27,unexpected_semantic,in_key,32
85420,0.4383092999923974,1,9,non_critical,27,unexpected_semantic,in_key,32
85420,0.5325599999632686,1,10,non_critical,27,unexpected_semantic,in_key,32
85420,0.8435527998954058,1,11,non_critical,27,unexpected_semantic,in_key,32
85420,0.7852623001672328,1,17,pre_critical,27,unexpected_semantic,in_key,32
85420,0.6246107998304069,1,18,critical,27,unexpected_semantic,in_key,32
85420,0.4243998001329601,1,4,post_critical,27,unexpected_semantic,in_key,32
85420,0.49785080016590655,1,5,non_critical,27,unexpected_semantic,in_key,32
85420,0.5129815000109375,1,7,non_critical,27,unexpected_semantic,in_key,32
85420,0.43990009999834,1,4,non_critical,36,expected_semantic,in_key,32
85420,0.5335670998319983,1,8,non_critical,36,expected_semantic,in_key,32
85420,0.3599006999284029,1,9,non_critical,36,expected_semantic,in_key,32
85420,0.21647890005260706,1,11,non_critical,36,expected_semantic,in_key,32
85420,1.199696899857372,1,18,non_critical,36,expected_semantic,in_key,32
85420,0.4962410000152886,1,4,non_critical,36,expected_semantic,in_key,32
85420,0.5453655999153852,1,10,pre_critical,36,expected_semantic,in_key,32
85420,0.4348889999091625,1,12,critical,36,expected_semantic,in_key,32
85420,0.5924587999470532,1,6,post_critical,36,expected_semantic,in_key,32
85420,0.4747714998666197,1,9,non_critical,36,expected_semantic,in_key,32
85420,0.37009670003317297,1,7,non_critical,48,unexpected_syntactic,in_key,32
85420,0.8098309999331832,1,14,non_critical,48,unexpected_syntactic,in_key,32
85420,0.7296593000646681,1,15,non_critical,48,unexpected_syntactic,in_key,32
85420,0.9862349999602884,1,19,non_critical,48,unexpected_syntactic,in_key,32
85420,0.7883822999428958,1,10,non_critical,48,unexpected_syntactic,in_key,32
85420,1.1216884998138994,1,14,non_critical,48,unexpected_syntactic,in_key,32
85420,0.749135100049898,1,26,pre_critical,48,unexpected_syntactic,in_key,32
85420,0.5462272998411208,1,5,critical,48,unexpected_syntactic,in_key,32
85420,0.8960825998801738,1,13,post_critical,48,unexpected_syntactic,in_key,32
85420,0.7042881001252681,1,20,non_critical,48,unexpected_syntactic,in_key,32
