participant_id,reading_time,correct,characters,segment_category,sentence_number,sentence_type,music_condition,Gold_MSI_index
74053,1.277795200003311,1,6,non_critical,7,filler,in_key,88
74053,0.9446306999307126,1,11,non_critical,7,filler,in_key,88
74053,0.962921200087294,1,9,non_critical,7,filler,in_key,88
74053,1.001585500082001,1,17,non_critical,7,filler,in_key,88
74053,1.0271768001839519,1,14,non_critical,7,filler,in_key,88
74053,1.9585808000992984,1,9,non_critical,7,filler,in_key,88
74053,1.0632919000927359,1,14,non_critical,46,expected_syntactic,in_key,88
74053,1.0781702999956906,1,15,non_critical,46,expected_syntactic,in_key,88
74053,1.107177099911496,1,10,non_critical,46,expected_syntactic,in_key,88
74053,1.0763981000054628,1,16,non_critical,46,expected_syntactic,in_key,88
74053,0.9450916000641882,1,15,non_critical,46,expected_syntactic,in_key,88
74053,0.9194567000959069,1,11,pre_critical,46,expected_syntactic,in_key,88
74053,0.8561251000501215,1,7,critical,46,expected_syntactic,in_key,88
74053,0.8335425998084247,1,5,post_critical,46,expected_syntactic,in_key,88
74053,0.9889237999450415,1,10,non_critical,46,expected_syntactic,in_key,88
74053,1.2645040999632329,1,16,non_critical,46,expected_syntactic,in_key,88
74053,0.7941813000943512,1,3,non_critical,6,filler,in_key,88
74053,0.7222788000945002,1,12,non_critical,6,filler,in_key,88
74053,0.6947302999906242,1,11,non_critical,6,filler,in_key,88
74053,0.8414519999641925,1,13,non_critical,6,filler,in_key,88
74053,0.8631852997932583,1,10,non_critical,6,filler,in_key,88
74053,1.1859977999702096,1,9,non_critical,6,filler,in_key,88
74053,0.8029090000782162,1,4,non_critical,26,expected_semantic,in_key,88
74053,1.4298459000419825,1,17,non_critical,26,expected_semantic,in_key,88
74053,0.859720999840647,1,13,non_critical,26,expected_semantic,in_key,88
74053,1.6551433999557048,1,15,non_critical,26,expected_semantic,in_key,88
74053,0.9446781000588089,1,8,pre_critical,26,expected_semantic,in_key,88
74053,1.2470265999436378,1,14,critical,26,expected_semantic,in_key,88
74053,1.110415899893269,1,5,post_critical,26,expected_semantic,in_key,88
74053,1.2725249999202788,1,4,non_critical,26,expected_semantic,in_key,88
74053,1.1077354999724776,1,6,non_critical,26,expected_semantic,in_key,88
74053,0.8865557000972331,1,11,non_critical,5,filler,in_key,88
74053,0.8071483001112938,1,5,non_critical,5,filler,in_key,88
74053,0.8610962999518961,1,11,non_critical,5,filler,in_key,88
74053,0.7638502998743206,1,7,non_critical,5,filler,in_key,88
74053,0.7906943999696523,1,10,non_critical,5,filler,in_key,88
74053,1.168339799856767,1,9,non_critical,5,filler,in_key,88
74053,0.8483679001219571,1,14,non_critical,32,unexpected_semantic,out_of_key,88
74053,0.7757100998423994,1,18,non_critical,32,unexpected_semantic,out_of_key,88
74053,0.6579079001676291,1,7,non_critical,32,unexpected_semantic,out_of_key,88
74053,1.3251007997896522,1,12,non_critical,32,unexpected_semantic,out_of_key,88
74053,0.8034401999320835,1,7,non_critical,32,unexpected_semantic,out_of_key,88
74053,0.9694582000374794,1,9,pre_critical,32,unexpected_semantic,out_of_key,88
74053,0.9738437999039888,1,10,critical,32,unexpected_semantic,out_of_key,88
74053,1.1499356999993324,1,8,post_critical,32,unexpected_semantic,out_of_key,88
74053,0.8718140998389572,1,10,non_critical,32,unexpected_semantic,out_of_key,88
74053,1.0333332000300288,1,17,non_critical,2,filler,in_key,88
74053,0.890530199976638,1,22,non_critical,2,filler,in_key,88
74053,0.8097326999995857,1,8,non_critical,2,filler,in_key,88
74053,0.7692036000080407,1,10,non_critical,2,filler,in_key,88
