participant_id,reading_time,correct,characters,segment_category,sentence_number,sentence_type,music_condition,music_experience
62115,0.9432500999973854,1,8,non_critical,40,expected_syntactic,in_key,3
62115,0.9795552999858046,1,18,non_critical,40,expected_syntactic,in_key,3
62115,0.7349181000026874,1,12,non_critical,40,expected_syntactic,in_key,3
62115,0.6651672000007238,1,10,non_critical,40,expected_syntactic,in_key,3
62115,0.7090844000049401,1,16,pre_critical,40,expected_syntactic,in_key,3
62115,0.6793757999985246,1,7,critical,40,expected_syntactic,in_key,3
62115,0.6189702000119723,1,11,post_critical,40,expected_syntactic,in_key,3
62115,0.9035720000101719,1,20,non_critical,40,expected_syntactic,in_key,3
62115,0.8695618999918224,1,11,non_critical,40,expected_syntactic,in_key,3
62115,0.8088907999917865,1,11,non_critical,44,unexpected_syntactic,in_key,3
62115,0.5699160999938613,1,13,non_critical,44,unexpected_syntactic,in_key,3
62115,0.8302509999921313,1,16,non_critical,44,unexpected_syntactic,in_key,3
62115,0.5859161999978824,1,18,non_critical,44,unexpected_syntactic,in_key,3
62115,0.6718831000034697,1,9,non_critical,44,unexpected_syntactic,in_key,3
62115,0.6428011000098195,1,11,pre_critical,44,unexpected_syntactic,in_key,3
62115,0.5381614999932935,1,5,critical,44,unexpected_syntactic,in_key,3
62115,0.7280892999988282,1,18,post_critical,44,unexpected_syntactic,in_key,3
62115,0.7697681999998167,1,13,non_critical,44,unexpected_syntactic,in_key,3
62115,0.7412077000044519,1,3,post_critical,8,filler,in_key,3
62115,0.6849638999992749,1,14,non_critical,8,filler,in_key,3
62115,0.7126589999970747,1,11,non_critical,8,filler,in_key,3
62115,0.6794954999932088,1,13,non_critical,8,filler,in_key,3
62115,0.7400487999984762,1,10,non_critical,8,filler,in_key,3
62115,0.7055946000036784,1,7,non_critical,8,filler,in_key,3
62115,0.5004131999885431,1,7,non_critical,47,unexpected_syntactic,in_key,3
62115,0.7350957000016933,1,16,non_critical,47,unexpected_syntactic,in_key,3
62115,0.8136956999951508,1,15,non_critical,47,unexpected_syntactic,in_key,3
62115,0.6833354999980656,1,10,non_critical,47,unexpected_syntactic,in_key,3
62115,0.6606329999922309,1,9,non_critical,47,unexpected_syntactic,in_key,3
62115,0.5594071999948937,1,13,pre_critical,47,unexpected_syntactic,in_key,3
